,Exogenous Window size,Endogenous Window size,Train Error,Validation Error,Test Error
0,8.0,8.0,0.1862774368690614,0.16896173641795204,0.16892859907377333
1,8.0,32.0,0.28585750942725446,0.26469234919548035,0.2804890068403753
2,8.0,64.0,0.5225386592063738,0.5184049635398679,0.5273817387450651
3,8.0,128.0,0.650664151159685,0.648155704265883,0.6577973193051864
4,16.0,8.0,0.2730841371268775,0.25072607019590953,0.2676520546277364
5,16.0,32.0,0.3201531325940469,0.3115556519031525,0.3076951712726122
6,16.0,64.0,0.5407201054395728,0.5268498751206127,0.5375954597350584
7,16.0,128.0,0.6137405491809347,0.5913013219833374,0.6069450979330102
8,32.0,8.0,0.32199260218226494,0.30844248843193056,0.29885813665105054
9,32.0,32.0,0.3811824275427197,0.3697524664402008,0.3726068694753001
10,32.0,64.0,0.43885777269726367,0.4633798160688664,0.4391998262051119
11,32.0,128.0,0.7036293534467469,0.728603309443017,0.7329260208168809
12,128.0,8.0,0.45036621274491445,0.4838930874311623,0.4629762805238062
13,128.0,32.0,0.5642073765070877,0.5967286920347133,0.5963571132445822
14,128.0,64.0,0.6432100076699139,0.7113344153436292,0.6685515026656949
15,128.0,128.0,0.7724251083266083,0.8638203093985549,0.8567796125703928
