,rel_hum,sp_hum,abs_hum,u_wind,v_wind,temp
0,55.0,0.00251,2.69506883484,3.9,0.799998474121,273.3
1,80.0,0.00219,2.43904951717,0.3,-0.3,266.6
2,82.0,0.00175,2.03341731168,0.999998474121,0.1,263.8
3,82.0,0.00195,2.23951616,3.29999847412,-0.3,265.1
4,61.0,0.0027,2.92792123058,4.6,-1.2,273.0
5,88.0,0.00231,2.6248536443,0.5,-0.6,266.3
6,86.0,0.00185,2.148588822,1.39999847412,0.299998474121,263.9
7,84.0,0.00172,2.02159725802,1.5,-0.5,263.4
8,51.0,0.00252,2.67632624998,6.0,-0.6,274.3
9,68.0,0.0023,2.51832455761,3.6,0.1,269.3
10,85.0,0.00215,2.44421334618,3.7,0.2,265.8
11,88.0,0.00199,2.29895829794,4.39999847412,1.2,264.5
12,52.0,0.00235,2.54806508021,8.2,0.9,273.3
13,62.0,0.00222,2.43023624698,6.7,1.3,270.1
14,72.0,0.0021,2.34336390517,5.9,2.0,267.5
15,73.0,0.00203,2.29135640595,6.29999847412,0.899998474121,267.0
16,40.0,0.00202,2.17178077605,10.5,1.0,274.8
17,53.0,0.00194,2.12194666915,4.9,-0.500001525879,270.4
18,76.0,0.00195,2.21770091759,3.0,0.5,266.0
19,79.0,0.00143,1.69782343922,0.2,0.3,261.9
20,45.0,0.00229,2.45990582301,3.9,0.4,274.9
21,70.0,0.00204,2.27827046336,-0.3,-0.900001525879,267.5
22,84.0,0.00186,2.14606899634,0.399998474121,1.7,264.2
23,91.0,0.00165,1.97062408009,0.6,0.4,262.0
24,51.0,0.00254,2.71307226585,3.4,0.5,274.5
25,64.0,0.00213,2.35336394484,2.9,0.1,269.2
26,84.0,0.00216,2.43324285693,3.39999847412,1.5,265.9
27,81.0,0.00183,2.11608661515,4.3,1.9,264.5
28,43.0,0.00205,2.19564821272,8.5,1.2,273.9
29,47.0,0.00169,1.86849445216,5.7,1.0,270.3
30,58.0,0.00169,1.87410185224,6.2,1.9,267.4
31,58.0,0.00159,1.78124035692,5.3,-0.5,266.7
32,28.0,0.00173,1.79857069762,8.7,1.9,277.3
33,25.0,0.0012,1.28530651197,5.2,0.7,274.0
34,25.0,0.00104,1.09648274918,5.7,2.0,271.7
35,25.0,0.00091,1.00091824016,3.4,1.2,270.4
36,9.0,0.00075,0.78567876787,8.1,0.0999984741211,282.0
37,40.0,0.00171,1.81650858289,1.09999847412,-0.7,272.2
38,39.0,0.00132,1.45464964669,5.1,-0.300001525879,269.4
39,72.0,0.00182,2.04019828423,2.4,1.1,265.6
40,28.0,0.00168,1.73958841051,7.19999847412,-1.52587890625e-06,276.8
41,64.0,0.00215,2.3366451835,1.0,-0.4,269.1
