,End Window Size,Encoder Layer 1 Units,Encoder Layer 2 Units,Decoder Layer 1 Units,Decoder Layer 2 Units,Train Error,Validation Error,Test Error
0,16.0,16.0,8.0,16.0,8.0,1.00397525967,0.993716317065,0.999236354793
1,16.0,16.0,8.0,16.0,16.0,1.00830149177,0.974142425201,0.978302604046
2,16.0,16.0,8.0,32.0,16.0,1.00147029268,1.00296788356,1.02056384259
3,16.0,16.0,16.0,16.0,8.0,1.00774260523,1.03799334344,0.953244953916
4,16.0,16.0,16.0,16.0,16.0,0.998454875349,1.02149837508,1.01359071421
5,16.0,16.0,16.0,32.0,16.0,0.998420288317,1.01292099672,1.01999486357
6,16.0,32.0,16.0,16.0,8.0,1.01402570249,1.02486325012,0.986879350483
7,16.0,32.0,16.0,16.0,16.0,1.00133760105,1.00585741155,0.999874795693
8,16.0,32.0,16.0,32.0,16.0,1.00003923539,0.976807306795,1.01471796589
9,32.0,16.0,8.0,16.0,8.0,1.01259803414,0.994584802371,1.04040274829
10,32.0,16.0,8.0,16.0,16.0,1.00599289506,1.02617265395,1.00897624893
11,32.0,16.0,8.0,32.0,16.0,1.00413656608,1.04019057573,1.01224432374
12,32.0,16.0,16.0,16.0,8.0,1.00413589882,0.983444282368,1.0078002345
13,32.0,16.0,16.0,16.0,16.0,1.00964323683,0.979136900226,1.00177465999
14,32.0,16.0,16.0,32.0,16.0,1.00096782494,0.96254712877,1.00541572066
15,32.0,32.0,16.0,16.0,8.0,1.00672354893,0.957273708351,1.01729676149
16,32.0,32.0,16.0,16.0,16.0,1.01430798627,0.998256966249,1.00245846014
17,32.0,32.0,16.0,32.0,16.0,1.00796105456,1.03782372866,1.01978243441
18,64.0,16.0,8.0,16.0,8.0,1.0045335989,1.09637078872,1.00958665565
19,64.0,16.0,8.0,16.0,16.0,1.01473109575,1.03551338453,1.00334620299
20,64.0,16.0,8.0,32.0,16.0,0.998613145819,0.987952874257,0.985221365646
21,64.0,16.0,16.0,16.0,8.0,1.00509204887,1.04532245306,0.995841685931
22,64.0,16.0,16.0,16.0,16.0,1.00386051377,1.01781839774,1.0186997917
23,64.0,16.0,16.0,32.0,16.0,1.00339618287,0.991024207152,0.986153501051
24,64.0,32.0,16.0,16.0,8.0,1.00395627544,1.05813202124,0.991469614594
25,64.0,32.0,16.0,16.0,16.0,1.01403480915,1.06818088752,0.979660245224
26,64.0,32.0,16.0,32.0,16.0,1.01266679792,0.949304140531,1.01038740388
